;Données Flux données API;;;;;;Données SFD;;;;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;indicateurCoucheUniforme;;logistique_information_commande;;;indicateur_couche_uniforme;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;nbCoucheParPalette;;logistique_information_commande;;;nb_couche_par_palette;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;poidsMaxiGerbage;;logistique_information_commande;;;poids_maxi_gerbage;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;X;lICUniteMesurePoidsMaxiGerbage;;logistique_information_commande;;;Unité du poids maxi  gerbage (LIC_unite_mesure_poids_maxi_gerbage);;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;gerbabiliteEntrepot;;logistique_information_commande;;;gerbabilite_entrepot;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;gerbabiliteTransport;;logistique_information_commande;;;gerbabilite_transport;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;presencePac;;logistique_information_commande;;;presence_pac;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;X;lICEntite;;logistique_information_commande;;;proprietaire (LIC_entite);;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;dateCreation;;logistique_information_commande;;;date_creation;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;;;dateMaj;;logistique_information_commande;;;date_maj;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;commande;;identifiantUniqueCommande;;logistique_information_commande;;commande;identifiant_unique_commande;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;commande;;datePremiereCommande;;logistique_information_commande;;commande;date_premiere_commande;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;commande;;dateDernierJourCommande;;logistique_information_commande;;commande;date_dernier_jour_commande;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;commande;;multipleCommande;;logistique_information_commande;;commande;multiple_commande;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;commande;;gtinCommande;;logistique_information_commande;;commande;gtin_commande;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;commande;;nbPointIncitation;;logistique_information_commande;;commande;nb_point_incitation;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;commande;;identifiantUniqueFournisseur;;logistique_information_commande;;commande;identifiant_unique_fournisseur;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;commande;;codeProduitFournisseur;;logistique_information_commande;;commande;code_produit_fournisseur;;
/logistiqueIdentification/logistiqueInformationCommande;logistiqueInformationCommande;;commande;;libelleProduitFournisseur;;logistique_information_commande;;commande;libelle_produit_fournisseur;;
/logistiqueIdentification/logistiqueSupportEmballage;logistiqueSupportEmballage;;;;identifiantUniqueLogistiqueSupportEmballage;;logistique_support_emballage;;;identifiant_unique_logistique_support_emballage;;
/logistiqueIdentification/logistiqueSupportEmballage;logistiqueSupportEmballage;;;X;lETypeDeSupportEmballage;;logistique_support_emballage;;;type_support_emballage (LE_type_de_support_emballage);;
/logistiqueIdentification/logistiqueSupportEmballage;logistiqueSupportEmballage;;;X;lSTypeDeSupport;;logistique_support_emballage;;;type_support (LS_type_de_support);;
/logistiqueIdentification/logistiqueSupportEmballage;logistiqueSupportEmballage;;;X;lSTypeEchangeDeSupportEmballage;;logistique_support_emballage;;;identifiant_unique_type_echange_support_emballage (LS_type_echange_de_support_emballage);;
/logistiqueIdentification/logistiqueSupportEmballage;logistiqueSupportEmballage;;;X;lSEntite;;logistique_support_emballage;;;proprietaire (LE_entite)(LS_entite);;
/logistiqueIdentification/logistiqueSupportEmballage;logistiqueSupportEmballage;;;;dateCreation;;logistique_support_emballage;;;date_creation;;
/logistiqueIdentification/logistiqueSupportEmballage;logistiqueSupportEmballage;;;;dateMaj;;logistique_support_emballage;;;date_maj;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;;;identifiantUniqueLogistiqueSpecificiteMarche;;logistique_specificite_marche;;;identifiant_unique_logistique_specificite_marche;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;;X;lSMTypeDeColisage;;logistique_specificite_marche;;;identifiant_unique_type_colisage (LSM_type_de_colisage);;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;;;indicateurQuantiteLimitee;;logistique_specificite_marche;;;indicateur_quantite_limitee;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;;;ordinalite;;logistique_specificite_marche;;;ordinalite;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;;X;lSMEntite;;logistique_specificite_marche;;;proprietaire (LSM_entite);;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;;;dateCreation;;logistique_specificite_marche;;;date_creation;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;;;dateMaj;;logistique_specificite_marche;;;date_maj;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;compositionUlTextile;;identifiantUniqueCompositionUlTextile;;logistique_specificite_marche;;composition_ul_textile;identifiant_unique_composition_ul_textile;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;compositionUlTextile;;identifiantUniqueTailleColoris;;logistique_specificite_marche;;composition_ul_textile;identifiant_unique_taille_coloris;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;compositionUlTextile;;identifiantUniqueLogistiqueIdentification;;logistique_specificite_marche;;composition_ul_textile;identifiant_unique_logistique_identification;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;compositionUlTextile;;compositionTailleCo;;logistique_specificite_marche;;composition_ul_textile;composition_taille_co;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;compositionUlTextile;;minimumCommandeTaille;;logistique_specificite_marche;;composition_ul_textile;minimum_commande_taille;;
/logistiqueSpecificiteMarche;logistiqueSpecificiteMarche;;compositionUlTextile;;multipleCommandeTaille;;logistique_specificite_marche;;composition_ul_textile;multiple_commande_taille;;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;;identifiantUniqueLogistiqueVariante;;logistique_variante;;;identifiant_unique_logistique_variante;;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;;largeur;;logistique_variante;;;largeur;;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;X;lVUniteMesureLargeur;;logistique_variante;;;unite_largeur (LV_unite_mesure_largeur);;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;;profondeur;;logistique_variante;;;profondeur;;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;X;lVUniteMesureProfondeur;;logistique_variante;;;unite_profondeur (LV_unite_mesure_profondeur);;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;;hauteur;;logistique_variante;;;hauteur;;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;X;lVUniteMesureHauteur;;logistique_variante;;;unite_hauteur (LV_unite_mesure_hauteur);;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;;poidsBrut;;logistique_variante;;;poids_brut;;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;X;lVUniteMesurePoidsBrut;;logistique_variante;;;unite_poids_brut (LV_unite_mesure_poids_brut);;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;X;lVUniteMesureVolume;;logistique_variante;;;unite_volume (LV_unite_mesure_volume);;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;;volume;;logistique_variante;;;volume;;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;X;lVEntite;;logistique_variante;;;proprietaire (LV_entite);;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;;dateCreation;;logistique_variante;;;date_creation;;
/logistiqueIdentification/logistiqueVariante;logistiqueVariante;;;;dateCreation;;logistique_variante;;;date_maj;;
/droitsEtTaxes;droitsEtTaxes;;;;identifiantUniqueDroitEtTaxe;;droit_et_taxe;;;identifiant_unique_droit_et_taxe;;
/droitsEtTaxes;droitsEtTaxes;;;X;dTDroitEtTaxe;;droit_et_taxe;;;identifiant_unique_droit_taxe (DT_droit_et_taxe);;
/droitsEtTaxes;droitsEtTaxes;;;X;dTDroitAccise;;droit_et_taxe;;;identifiant_unique_code_droit_accise (DT_droit_accise);;
/droitsEtTaxes;droitsEtTaxes;;;X;dTEntite;;droit_et_taxe;;;proprietaire (DT_entite);;
/droitsEtTaxes;droitsEtTaxes;;;;dateCreation;;droit_et_taxe;;;date_creation;;
/droitsEtTaxes;droitsEtTaxes;;;;dateMaj;;droit_et_taxe;;;date_maj;;
/droitsEtTaxes;droitsEtTaxes;;taxe;;identifiantUniqueTaxe;;droit_et_taxe;;taxe;identifiant_unique_taxe;;
/droitsEtTaxes;droitsEtTaxes;;taxe;;inclusDansPrix;;droit_et_taxe;;taxe;inclus_dans_prix;;
/droitsEtTaxes;droitsEtTaxes;;taxe;;inclusDansCaRistournable;;droit_et_taxe;;taxe;inclus_dans_ca_ristournable;;
/droitsEtTaxes;droitsEtTaxes;;taxe;;valeurTaxeEnMontant;;droit_et_taxe;;taxe;valeur_taxe_en_montant;;
/droitsEtTaxes;droitsEtTaxes;;taxe;X;dTDeviseTaxe;;droit_et_taxe;;taxe;devise_taxe (DT_devise_taxe);;
/droitsEtTaxes;droitsEtTaxes;;taxe;;valeurTaxeEnPourcentage;;droit_et_taxe;;taxe;valeur_taxe_en_pourcentage;;
/droitsEtTaxes;droitsEtTaxes;;taxe;X;dTCodeTvaAchatFournisseur;;droit_et_taxe;;taxe;identifiant_unique_code_tva_achat_fournisseur (DT_code_tva_achat_fournisseur);;
/droitsEtTaxes;droitsEtTaxes;;taxe;X;dTTauxTvaAchatFournisseur;;droit_et_taxe;;taxe;identifiant_unique_taux_tva_achat_fournisseur (DT_taux_tva_achat_fournisseur);;
/droitsEtTaxes;droitsEtTaxes;;taxe;;identifiantUniqueFournisseurTauxTvaAchatFournisseur;;droit_et_taxe;;taxe;identifiant_unique_fournisseur_taux_tva_achat_fournisseur;;
/droitsEtTaxes;droitsEtTaxes;;taxe;;dateApplicationTvaFournisseur;;droit_et_taxe;;taxe;date_application_tva_fournisseur;;
/droitsEtTaxes;droitsEtTaxes;;taxe;X;dTCodeTvaVenteMagasin;;droit_et_taxe;;taxe;identifiant_unique_code_tva_vente_magasin (DT_code_tva_vente_magasin);;
/droitsEtTaxes;droitsEtTaxes;;taxe;X;dTTauxTvaVenteMagasin;;droit_et_taxe;;taxe;identifiant_unique_taux_tva_vente_magasin (DT_taux_tva_vente_magasin);;
/droitsEtTaxes;droitsEtTaxes;;taxe;;dateApplicationTvaVenteMagasin;;droit_et_taxe;;taxe;date_application_tva_vente_magasin;;
/droitsEtTaxes;droitsEtTaxes;;taxe;X;dTCodeTvaVenteConsommateur;;droit_et_taxe;;taxe;identifiant_unique_code_tva_vente_consommateur (DT_code_tva_vente_consommateur);;
/droitsEtTaxes;droitsEtTaxes;;taxe;X;dTTauxTvaVenteConsommateur;;droit_et_taxe;;taxe;identifiant_unique_taux_tva_vente_consommateur (DT_taux_tva_vente_consommateur);;
/droitsEtTaxes;droitsEtTaxes;;taxe;;dateApplicationTvaVenteConsommateur;;droit_et_taxe;;taxe;date_application_tva_vente_consommateur;;
/qualiteEtReglementation;qualiteEtReglementation;;;;identifiantUniqueQualiteReglementation;;qualite_et_reglementation;;;identifiant_unique_qualite_reglementation;;
/qualiteEtReglementation;qualiteEtReglementation;;;;degreAlcool;;qualite_et_reglementation;;;degre_alcool;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dureeVieAReceptionProduit;;qualite_et_reglementation;;;duree_vie_a_reception_produit;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurAerosol;;qualite_et_reglementation;;;indicateur_aerosol;;
/qualiteEtReglementation;qualiteEtReglementation;;;;pourcentageMatieresGrassesSurPoidsTotal;;qualite_et_reglementation;;;pourcentage_matieres_grasses_sur_poids_total;;
/qualiteEtReglementation;qualiteEtReglementation;;;;temperatureMinimumStockage;;qualite_et_reglementation;;;temperature_minimum_stockage;;
/qualiteEtReglementation;qualiteEtReglementation;;;;temperatureMaximumStockage;;qualite_et_reglementation;;;temperature_maximum_stockage;;
/qualiteEtReglementation;qualiteEtReglementation;;;X;qRUniteMesureTemperatureStockage;;qualite_et_reglementation;;;um_temperature_stockage (QR_unite_mesure_temperature_stockage);;
/qualiteEtReglementation;qualiteEtReglementation;;;;contactAlimentaire;;qualite_et_reglementation;;;contact_alimentaire;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dispositifMedical;;qualite_et_reglementation;;;dispositif_medical;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dureeDeVieTotaleDuProduit;;qualite_et_reglementation;;;duree_de_vie_totale_du_produit;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurProduitBio;;qualite_et_reglementation;;;indicateur_produit_bio;;
/qualiteEtReglementation;qualiteEtReglementation;;;;reglementationProduitBioValidee;;qualite_et_reglementation;;;reglementation_produit_bio_validee;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dateValidationGtQsCertification;;qualite_et_reglementation;;;date_validation_gt_qs_certification;;
/qualiteEtReglementation;qualiteEtReglementation;;;;lienCertificat;;qualite_et_reglementation;;;lien_certificat;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dateDebutCertificat;;qualite_et_reglementation;;;date_debut_certificat;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dateFinCertificat;;qualite_et_reglementation;;;date_fin_certificat;;
/qualiteEtReglementation;qualiteEtReglementation;;;;produitBiocide;;qualite_et_reglementation;;;produit_biocide;;
/qualiteEtReglementation;qualiteEtReglementation;;;;biocideNumeroAmm;;qualite_et_reglementation;;;biocide_numero_amm;;
/qualiteEtReglementation;qualiteEtReglementation;;;X;qRTypeDeProduitBiocide;;qualite_et_reglementation;;;identifiant_unique_type_produit_biocide (QR_type_de_produit_biocide);;
/qualiteEtReglementation;qualiteEtReglementation;;;;reglementationBiocideValidee;;qualite_et_reglementation;;;reglementation_biocide_validee;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dateValidationReglementationBiocide;;qualite_et_reglementation;;;date_validation_reglementation_biocide;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPresenceNomResponsable;;qualite_et_reglementation;;;indicateur_presence_nom_responsable;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPresenceAdresseResponsable;;qualite_et_reglementation;;;indicateur_presence_adresse_responsable;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPresencePaysFabrication;;qualite_et_reglementation;;;indicateur_presence_pays_fabrication;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPresenceContenuNominal;;qualite_et_reglementation;;;indicateur_presence_contenu_nominal;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPresencePao;;qualite_et_reglementation;;;indicateur_presence_pao;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPresenceDateLimiteUtilisation;;qualite_et_reglementation;;;indicateur_presence_date_limite_utilisation;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPresenceListeIngredients;;qualite_et_reglementation;;;indicateur_presence_liste_ingredients;;
/qualiteEtReglementation;qualiteEtReglementation;;;;ingredient;;qualite_et_reglementation;;;ingredient;;
/qualiteEtReglementation;qualiteEtReglementation;;;;allergene;;qualite_et_reglementation;;;allergene;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPresencePrecautionEmploi;;qualite_et_reglementation;;;indicateur_presence_precaution_emploi;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPresenceNumeroLot;;qualite_et_reglementation;;;indicateur_presence_numero_lot;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurReglementationCosmetiqueValidee;;qualite_et_reglementation;;;indicateur_reglementation_cosmetique_validee;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dateValidationReglementationCosmetique;;qualite_et_reglementation;;;date_validation_reglementation_cosmetique;;
/qualiteEtReglementation;qualiteEtReglementation;;;;fonctionProduit;;qualite_et_reglementation;;;fonction_produit;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurSoumisReglementationCosmetique;;qualite_et_reglementation;;;indicateur_soumis_reglementation_cosmetique;;
/qualiteEtReglementation;qualiteEtReglementation;;;;tauxSucreMinimum;;qualite_et_reglementation;;;taux_sucre_minimum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;tauxSucreMaximum;;qualite_et_reglementation;;;taux_sucre_maximum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;aciditeMinimum;;qualite_et_reglementation;;;acidite_minimum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;aciditeMaximum;;qualite_et_reglementation;;;acidite_maximum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;colorationMinimum;;qualite_et_reglementation;;;coloration_minimum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;colorationMaximum;;qualite_et_reglementation;;;coloration_maximum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;fermeteMinimum;;qualite_et_reglementation;;;fermete_minimum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;fermeteMaximum;;qualite_et_reglementation;;;fermete_maximum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;matiereSecheMinimum;;qualite_et_reglementation;;;matiere_seche_minimum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;matiereSecheMaximum;;qualite_et_reglementation;;;matiere_seche_maximum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;jutositeMinimum;;qualite_et_reglementation;;;jutosite_minimum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;jutositeMaximum;;qualite_et_reglementation;;;jutosite_maximum;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurJouet;;qualite_et_reglementation;;;indicateur_jouet;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurMarquageCe;;qualite_et_reglementation;;;indicateur_marquage_ce;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPhraseAvertissement;;qualite_et_reglementation;;;indicateur_phrase_avertissement;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPictoAvertissement;;qualite_et_reglementation;;;indicateur_picto_avertissement;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurReglementationJouetValidee;;qualite_et_reglementation;;;indicateur_reglementation_jouet_validee;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dateDeValidationReglementationJouet;;qualite_et_reglementation;;;date_de_validation_reglementation_jouet;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurPresenceAge;;qualite_et_reglementation;;;indicateur_presence_age;;
/qualiteEtReglementation;qualiteEtReglementation;;;;autresLimites;;qualite_et_reglementation;;;autres_limites;;
/qualiteEtReglementation;qualiteEtReglementation;;;;phraseSurveillanceAdulte;;qualite_et_reglementation;;;phrase_surveillance_adulte;;
/qualiteEtReglementation;qualiteEtReglementation;;;;autreAvertissement;;qualite_et_reglementation;;;autre_avertissement;;
/qualiteEtReglementation;qualiteEtReglementation;;;X;qREtatPreparation;;qualite_et_reglementation;;;identifiant_unique_etat_de_preparation (QR_etat_preparation);;
/qualiteEtReglementation;qualiteEtReglementation;;;;tailleDeReference;;qualite_et_reglementation;;;Taille de référence;;
/qualiteEtReglementation;qualiteEtReglementation;;;X;qRUniteMesureTailleReference;;qualite_et_reglementation;;;um_taille_reference (QR_unite_mesure_taille_reference);;
/qualiteEtReglementation;qualiteEtReglementation;;;;produitPhytopharmaceutique;;qualite_et_reglementation;;;produit_phytopharmaceutique;;
/qualiteEtReglementation;qualiteEtReglementation;;;;reglementationPhytoValidee;;qualite_et_reglementation;;;reglementation_phyto_validee;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dateValidationRegPhyto;;qualite_et_reglementation;;;date_validation_reg_phyto;;
/qualiteEtReglementation;qualiteEtReglementation;;;;lienVersDocumentsPhyto;;qualite_et_reglementation;;;lien_vers_documents_phyto;;
/qualiteEtReglementation;qualiteEtReglementation;;;;phytoNumeroAmm;;qualite_et_reglementation;;;phyto_numero_amm;;
/qualiteEtReglementation;qualiteEtReglementation;;;;indicateurProduitBois;;qualite_et_reglementation;;;indicateur_produit_bois;;
/qualiteEtReglementation;qualiteEtReglementation;;;X;qRPaysUsineFabricationProduitFini;;qualite_et_reglementation;;;identifiant_unique_pays_usine_fabrication_produit_fini (QR_pays_usine_fabrication_produit_fini);;
/qualiteEtReglementation;qualiteEtReglementation;;;;nomUsineFabricationProduitFini;;qualite_et_reglementation;;;nom_usine_fabrication_produit_fini;;
/qualiteEtReglementation;qualiteEtReglementation;;;;numeroCertificatCocFscUsineFabricationProduitFini;;qualite_et_reglementation;;;numero_certificat_coc_fsc_usine_fabrication_produit_fini;;
/qualiteEtReglementation;qualiteEtReglementation;;;;natureBois;;qualite_et_reglementation;;;nature_bois;;
/qualiteEtReglementation;qualiteEtReglementation;;;;presenceMatiereRecyclee;;qualite_et_reglementation;;;presence_matiere_recyclee;;
/qualiteEtReglementation;qualiteEtReglementation;;;X;qRPaysUsineFabricationComosantBaseDeriveBois;;qualite_et_reglementation;;;identifiant_unique_pays_usine_fabrication_comosant_base_derive_bois (QR_pays_usine_fabrication_comosant_base_derive_bois);;
/qualiteEtReglementation;qualiteEtReglementation;;;;nomUsineFabricationComposantABaseDeriveBois;;qualite_et_reglementation;;;nom_usine_fabrication_composant_a_base_derive_bois;;
/qualiteEtReglementation;qualiteEtReglementation;;;;numeroCertificatCocFscUsineFabricationComposantABaseDeriveBois;;qualite_et_reglementation;;;numero_certificat_coc_fsc_usine_fabrication_composant_a_base_derive_bois;;
/qualiteEtReglementation;qualiteEtReglementation;;;X;qRPaysUsineEnsachage;;qualite_et_reglementation;;;identifiant_unique_pays_usine_ensachage (QR_pays_usine_ensachage);;
/qualiteEtReglementation;qualiteEtReglementation;;;;nomUsineEnsachage;;qualite_et_reglementation;;;nom_usine_ensachage;;
/qualiteEtReglementation;qualiteEtReglementation;;;;numeroCertificatCocFscUsineEnsachage;;qualite_et_reglementation;;;numero_certificat_coc_fsc_usine_ensachage;;
/qualiteEtReglementation;qualiteEtReglementation;;;X;qRPaysUsineCarbonisation;;qualite_et_reglementation;;;identifiant_unique_pays_usine_carbonisation (QR_pays_usine_carbonisation);;
/qualiteEtReglementation;qualiteEtReglementation;;;;nomUsineCarbonisation;;qualite_et_reglementation;;;nom_usine_carbonisation;;
/qualiteEtReglementation;qualiteEtReglementation;;;;numeroCertificatCocFscUsineCarbonisation;;qualite_et_reglementation;;;numero_certificat_coc_fsc_usine_carbonisation;;
/qualiteEtReglementation;qualiteEtReglementation;;;;identifiantUniqueCertificatProduit;;qualite_et_reglementation;;;identifiant_unique_certificat_produit;;
/qualiteEtReglementation;qualiteEtReglementation;;;;numeroCertificatCocFscDuFournisseur;;qualite_et_reglementation;;;numero_certificat_coc_fsc_du_fournisseur;;
/qualiteEtReglementation;qualiteEtReglementation;;;;essenceDeBois;;qualite_et_reglementation;;;essence_de_bois;;
/qualiteEtReglementation;qualiteEtReglementation;;;X;qRPaysOrigineBois;;qualite_et_reglementation;;;identifiant_unique_pays_origine_bois (QR_pays_origine_bois);;
/qualiteEtReglementation;qualiteEtReglementation;;;;numeroCertificatFscDuBois;;qualite_et_reglementation;;;numero_certificat_fsc_du_bois;;
/qualiteEtReglementation;qualiteEtReglementation;;;X;qREntite;;qualite_et_reglementation;;;proprietaire (QR_entite);;
/qualiteEtReglementation;qualiteEtReglementation;;;;dateCreation;;qualite_et_reglementation;;;date_creation;;
/qualiteEtReglementation;qualiteEtReglementation;;;;dateMaj;;qualite_et_reglementation;;;date_maj;;
/qualiteEtReglementation;qualiteEtReglementation;;dureeVie;;identifiantUniqueDureeVie;;qualite_et_reglementation;;duree_vie;identifiant_unique_duree_vie;;
/qualiteEtReglementation;qualiteEtReglementation;;dureeVie;;dureeVieAReceptionProduit;;qualite_et_reglementation;;duree_vie;duree_vie_a_reception_produit;;
/qualiteEtReglementation;qualiteEtReglementation;;dureeVie;;dureeDeVieTotaleDuProduit;;qualite_et_reglementation;;duree_vie;duree_de_vie_totale_du_produit;;
/qualiteEtReglementation;qualiteEtReglementation;;dureeVie;;identifiantUniqueFournisseur;;qualite_et_reglementation;;duree_vie;identifiant_unique_fournisseur ;;
/qualiteEtReglementation;qualiteEtReglementation;;mentionLegaleVente;;identifiantUniqueMentionLegaleDeVente;;qualite_et_reglementation;;mention_legale_vente;identifiant_unique_mention_legale_de_vente;;
/qualiteEtReglementation;qualiteEtReglementation;;mentionLegaleVente;X;qRMentionLegale;;qualite_et_reglementation;;mention_legale_vente;identifiant_unique_mention_legale_vente (QR_mention_legale);;
/qualiteEtReglementation;qualiteEtReglementation;;label;;identifiantUniqueLabel;;qualite_et_reglementation;;label;identifiant_unique_label;;
/qualiteEtReglementation;qualiteEtReglementation;;label;X;qRFamilleDeLabel;;qualite_et_reglementation;;label;identifiant_unique_famille_label (QR_famille_de_label);;
/qualiteEtReglementation;qualiteEtReglementation;;label;X;qRTypeDeLabel;;qualite_et_reglementation;;label;identifiant_unique_type_label (QR_type_de_label);;
/qualiteEtReglementation;qualiteEtReglementation;;nutriment;;identifiantUniqueNutriment;;qualite_et_reglementation;;nutriment;identifiant_unique_nutriment;;
/qualiteEtReglementation;qualiteEtReglementation;;nutriment;X;qRTypeDeNutriment;;qualite_et_reglementation;;nutriment;identifiant_unique_type_nutriment (QR_type_de_nutriment);;
/qualiteEtReglementation;qualiteEtReglementation;;nutriment;;quantiteNutriment;;qualite_et_reglementation;;nutriment;quantite_nutriment;;
/qualiteEtReglementation;qualiteEtReglementation;;nutriment;X;qRUniteMesureQuantiteNutriment;;qualite_et_reglementation;;nutriment;um_quantite_nutriment (QR_unite_mesure_quantite_nutriment);;
/qualiteEtReglementation;qualiteEtReglementation;;legislationPpe;;identifiantUniquePlante;;qualite_et_reglementation;;legislation_ppe;identifiant_unique_plante;;
/qualiteEtReglementation;qualiteEtReglementation;;legislationPpe;;nomScientifiquePlante;;qualite_et_reglementation;;legislation_ppe;nom_scientifique_plante;;
/qualiteEtReglementation;qualiteEtReglementation;;legislationPpe;;numeroPpeFournisseur;;qualite_et_reglementation;;legislation_ppe;numero_ppe_fournisseur;;
/securite;securite;;;;identifiantUniqueSecurite;;securite;;;identifiant_unique_securite;;
/securite;securite;;;;produitDangereux;;securite;;;produit_dangereux;;
/securite;securite;;;;valeurDuPointEclair;;securite;;;valeur_du_point_eclair;;
/securite;securite;;;X;sECUniteMesurePointEclair;;securite;;;unite_point_eclair (SEC_unite_mesure_point_eclair);;
/securite;securite;;;;pointEclairEnDegreFahreinheit;;securite;;;point_eclair_en_degre_fahreinheit;;
/securite;securite;;;X;sECPhaseProduit;;securite;;;identifiant_unique_phase_produit (SEC_phase_produit);;
/securite;securite;;;X;sECDangerEmballage;;securite;;;groupe_emballage (SEC_danger_emballage);;
/securite;securite;;;;numeroOnu;;securite;;;numero_onu;;
/securite;securite;;;;libelleNumeroOnu;;securite;;;libelle_numero_onu;;
/securite;securite;;;;ph;;securite;;;ph;;
/securite;securite;;;;pointEbullition;;securite;;;point_ebullition;;
/securite;securite;;;;ficheQfds;;securite;;;fiche_qfds;;
/securite;securite;;;;ficheFitpc;;securite;;;fiche_fitpc;;
/securite;securite;;;;flagDonneeSecuriteValidee;;securite;;;flag_donnee_securite_validee;;
/securite;securite;;;;dateValidationDonneeSecurite;;securite;;;date_validation_donnee_securite;;
/securite;securite;;;;urlFicheDeSecurite;;securite;;;url_fiche_de_securite;;
